pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.100000000000000000e+01,2.638297872340425454e-02,7.740000000000000213e-01,4.369279583046419280e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.200000000000000000e+01,2.567287784679088761e-02,7.740000000000000213e-01,4.365460101175112628e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.300000000000000000e+01,2.499999999999999792e-02,7.740000000000000213e-01,4.361693710044782235e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.400000000000000000e+01,2.436149312377210163e-02,7.750000000000000222e-01,4.357981451415747776e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.500000000000000000e+01,2.375478927203064985e-02,7.770000000000000240e-01,4.354324384706405593e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.600000000000000000e+01,2.317757009345794428e-02,7.770000000000000240e-01,4.350723541234978731e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.700000000000000000e+01,2.262773722627737030e-02,7.770000000000000240e-01,4.347179889496057825e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.800000000000000000e+01,2.210338680926916127e-02,7.760000000000000231e-01,4.343694309438557166e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.900000000000000000e+01,2.160278745644599388e-02,7.770000000000000240e-01,4.340267574081843049e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.000000000000000000e+01,2.112436115843270915e-02,7.780000000000000249e-01,4.336900337100788594e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.100000000000000000e+01,2.066666666666666652e-02,7.790000000000000258e-01,4.333593125246714139e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.200000000000000000e+01,2.022838499184339070e-02,7.790000000000000258e-01,4.330346334662832364e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.300000000000000000e+01,1.980830670926517559e-02,7.800000000000000266e-01,4.327160230309967104e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.400000000000000000e+01,1.940532081377151913e-02,7.800000000000000266e-01,4.324034947848459098e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.500000000000000000e+01,1.901840490797545788e-02,7.800000000000000266e-01,4.320970497430261514e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.600000000000000000e+01,1.864661654135338353e-02,7.800000000000000266e-01,4.317966768946354672e-01
