# accuracy, cost, lr
7.279999999999999805e-01, 3.098518954946672288e+00, 2.366863905325444078e-02
7.249999999999999778e-01, 3.099678455241317909e+00, 2.342606149341142432e-02
7.239999999999999769e-01, 3.084468863081072598e+00, 2.318840579710145303e-02
6.780000000000000471e-01, 3.027898701023234551e+00, 2.295552367288378887e-02
7.149999999999999689e-01, 3.038021803940846866e+00, 2.272727272727272790e-02
7.059999999999999609e-01, 3.041576975452367826e+00, 2.250351617440225424e-02
7.139999999999999680e-01, 3.038011520752332828e+00, 2.228412256267409824e-02
7.109999999999999654e-01, 3.041668026807998526e+00, 2.206896551724138109e-02
7.099999999999999645e-01, 3.031998053698223838e+00, 2.185792349726776301e-02
7.109999999999999654e-01, 3.028814414373924180e+00, 2.165087956698241028e-02
7.099999999999999645e-01, 3.027122150969575376e+00, 2.144772117962466529e-02
7.099999999999999645e-01, 3.025989281128624420e+00, 2.124833997343957698e-02
7.119999999999999662e-01, 3.026118325769574291e+00, 2.105263157894737142e-02
6.999999999999999556e-01, 3.011715955477107798e+00, 2.086049543676662607e-02
7.299999999999999822e-01, 3.099980329539844703e+00, 2.067183462532300176e-02
7.279999999999999805e-01, 3.103536163062012410e+00, 2.048655569782330613e-02
7.289999999999999813e-01, 3.105932886813112415e+00, 2.030456852791878361e-02
7.289999999999999813e-01, 3.108919312624708553e+00, 2.012578616352201505e-02
7.299999999999999822e-01, 3.124296171071534900e+00, 1.995012468827930818e-02
7.259999999999999787e-01, 3.121947261015067809e+00, 1.977750309023486308e-02
7.309999999999999831e-01, 3.129657070102905614e+00, 1.960784313725490516e-02
7.249999999999999778e-01, 3.125836958193489501e+00, 1.944106925880923625e-02
7.259999999999999787e-01, 3.131907045591869831e+00, 1.927710843373494146e-02
6.670000000000000373e-01, 3.057445780564957971e+00, 1.911589008363202141e-02
7.189999999999999725e-01, 3.048989864710763609e+00, 1.895734597156398249e-02
7.199999999999999734e-01, 3.047545154901574627e+00, 1.880141010575793123e-02
7.189999999999999725e-01, 3.041737107348911451e+00, 1.864801864801864800e-02
7.209999999999999742e-01, 3.044309807751209185e+00, 1.849710982658959654e-02
7.239999999999999769e-01, 3.047981418500982365e+00, 1.834862385321101019e-02
7.249999999999999778e-01, 3.049589123101760002e+00, 1.820250284414107189e-02
7.269999999999999796e-01, 3.052328682011384409e+00, 1.805869074492099866e-02
7.259999999999999787e-01, 3.059956378612039174e+00, 1.791713325867861500e-02
7.249999999999999778e-01, 3.064013040471770477e+00, 1.777777777777778123e-02
6.909999999999999476e-01, 3.002527097868604500e+00, 1.764057331863285935e-02
7.299999999999999822e-01, 3.127214586842408384e+00, 1.750547045951860239e-02
7.319999999999999840e-01, 3.126102088553123437e+00, 1.737242128121607027e-02
7.279999999999999805e-01, 3.131888954515606560e+00, 1.724137931034482735e-02
7.289999999999999813e-01, 3.134445169442944490e+00, 1.711229946524064210e-02
7.239999999999999769e-01, 3.133474155823492424e+00, 1.698513800424628420e-02
7.229999999999999760e-01, 3.137764381026954208e+00, 1.685985247629083125e-02
7.219999999999999751e-01, 3.130128112778324478e+00, 1.673640167364016940e-02
7.209999999999999742e-01, 3.125572177950671993e+00, 1.661474558670820653e-02
7.229999999999999760e-01, 3.119867850056703862e+00, 1.649484536082474265e-02
6.979999999999999538e-01, 3.072936489049863162e+00, 1.637666325486182572e-02
7.299999999999999822e-01, 3.074308916299683503e+00, 1.626016260162601798e-02
7.309999999999999831e-01, 3.097972507971388456e+00, 1.614530776992936789e-02
7.269999999999999796e-01, 3.100072900699702316e+00, 1.603206412825651517e-02
7.279999999999999805e-01, 3.109849737881260179e+00, 1.592039800995025123e-02
